id_tarefa,id_funcionalidade,id_responsavel,id_status,id_prioridade,tipo,nome_tarefa,descricao,horas_estimadas,data_criacao,data_inicio,data_conclusao,id_tarefa_pai
1,1,2,6,1,Tarefa,Configurar pipeline CI/CD no GitHub Actions,Criar workflows de build teste e deploy automático,16,2025-01-06,2025-01-06,2025-01-10,
2,1,2,6,1,Subtarefa,Criar workflow de build,Pipeline de build da aplicação,4,2025-01-06,2025-01-06,2025-01-07,1
3,1,2,6,1,Subtarefa,Criar workflow de testes,Executar testes unitários e de integração,4,2025-01-06,2025-01-07,2025-01-08,1
4,1,2,6,1,Subtarefa,Criar workflow de deploy para staging,Deploy automático no ambiente de staging,4,2025-01-06,2025-01-08,2025-01-09,1
5,1,2,6,1,Subtarefa,Criar workflow de deploy para produção,Deploy manual aprovado para produção,4,2025-01-06,2025-01-09,2025-01-10,1
6,1,2,6,2,Tarefa,Provisionar infraestrutura AWS,Criar recursos EC2 RDS e S3 via Terraform,20,2025-01-06,2025-01-08,2025-01-15,
7,1,2,6,2,Subtarefa,Criar VPC e subnets,Configuração de rede isolada,6,2025-01-06,2025-01-08,2025-01-09,6
8,1,2,6,2,Subtarefa,Provisionar banco de dados RDS PostgreSQL,Instância PostgreSQL em alta disponibilidade,8,2025-01-06,2025-01-09,2025-01-13,6
9,1,2,6,2,Subtarefa,Configurar load balancer e auto scaling,ALB e grupos de auto scaling,6,2025-01-06,2025-01-13,2025-01-15,6
10,1,4,6,3,Tarefa,Criar protótipo de layout base,Wireframes e protótipo navegável do sistema,12,2025-01-06,2025-01-06,2025-01-10,
11,2,1,6,1,Tarefa,Implementar autenticação JWT,Sistema de login com tokens JWT e refresh tokens,20,2025-01-20,2025-01-20,2025-01-27,
12,2,1,6,1,Subtarefa,Criar endpoint de login,API POST /auth/login com validação,4,2025-01-20,2025-01-20,2025-01-21,11
13,2,1,6,1,Subtarefa,Implementar geração de JWT,Geração e assinatura de access e refresh tokens,6,2025-01-20,2025-01-21,2025-01-22,11
14,2,1,6,1,Subtarefa,Implementar renovação de token,Endpoint de refresh token,4,2025-01-20,2025-01-22,2025-01-23,11
15,2,1,6,1,Subtarefa,Implementar logout e blacklist de tokens,Invalidação de tokens no logout,6,2025-01-20,2025-01-23,2025-01-27,11
16,2,3,6,1,Tarefa,Desenvolver tela de login,Interface de login com validação e UX,16,2025-01-20,2025-01-20,2025-01-28,
17,2,7,6,1,Subtarefa,Criar componente de formulário de login,Form com campos de email e senha,4,2025-01-20,2025-01-20,2025-01-21,16
18,2,7,6,1,Subtarefa,Implementar validações de campo,Validação de formato e campos obrigatórios,4,2025-01-20,2025-01-21,2025-01-22,16
19,2,3,6,2,Subtarefa,Adicionar animações de transição,Efeitos visuais na entrada e saída,4,2025-01-20,2025-01-22,2025-01-24,16
20,2,3,6,2,Subtarefa,Implementar tela de recuperação de senha,Fluxo completo de redefinição de senha,4,2025-01-20,2025-01-24,2025-01-28,16
21,2,1,6,1,Tarefa,Configurar controle de acesso por perfil RBAC,Permissões baseadas em papéis,24,2025-01-20,2025-01-22,2025-01-31,
22,2,6,6,2,Subtarefa,Criar modelo de dados de perfis e permissões,Tabelas de roles e permissions,6,2025-01-20,2025-01-22,2025-01-23,21
23,2,6,6,2,Subtarefa,Implementar middleware de autorização,Verificação de permissões em cada rota,8,2025-01-20,2025-01-23,2025-01-27,21
24,2,1,6,1,Subtarefa,Criar painel de gestão de perfis,Interface para criar e gerenciar perfis,10,2025-01-20,2025-01-27,2025-01-31,21
25,3,6,6,2,Tarefa,Desenvolver API de cadastro de clientes,CRUD completo de clientes via REST API,24,2025-02-03,2025-02-03,2025-02-12,
26,3,6,6,2,Subtarefa,Criar endpoint de criação de cliente,POST /clientes com validação,6,2025-02-03,2025-02-03,2025-02-04,25
27,3,6,6,2,Subtarefa,Criar endpoint de listagem com filtros,GET /clientes com paginação e filtros,6,2025-02-03,2025-02-04,2025-02-05,25
28,3,6,6,2,Subtarefa,Criar endpoint de atualização,PUT/PATCH /clientes/:id,6,2025-02-03,2025-02-05,2025-02-06,25
29,3,6,6,2,Subtarefa,Implementar soft delete,DELETE lógico de clientes,6,2025-02-03,2025-02-06,2025-02-07,25
30,3,7,6,2,Tarefa,Desenvolver tela de gestão de clientes,Listagem formulário e detalhes do cliente,20,2025-02-03,2025-02-03,2025-02-13,
31,3,7,6,2,Subtarefa,Criar grid de listagem de clientes,Tabela com paginação e busca,6,2025-02-03,2025-02-03,2025-02-05,30
32,3,7,6,2,Subtarefa,Criar formulário de novo cliente,Form com campos de cadastro completo,8,2025-02-03,2025-02-05,2025-02-10,30
